,Kvadrata,Broj soba,Latitude,Longitude,Sprat,Balkon,Lift,Novogradnja,Plin,Podrum/Tavan,Vrsta grijanja,cluster,Cijena
410,30.0,0.5,43.84328973,18.35437264,3,0,0,0,0,1.0,4.0,3,51000.0
411,47.0,1.5,43.84416746,18.35181262,15,1.0,1.0,0,0,0,4.0,3,72000.0
414,73.0,3.0,43.84211354,18.35574594,0,0,1.0,0,0,0,4.0,3,100000.0
415,80.0,3.0,43.84114626,18.35042443,11,1.0,1.0,0,0,1.0,4.0,3,119000.0
417,75.0,3.0,43.84190074,18.35325685,12,1.0,1.0,0,0,1.0,4.0,3,120000.0
418,59.0,2.0,43.8421339,18.34962621,1,1.0,1.0,0,0,1.0,4.0,3,100000.0
419,55.0,2.0,43.84248884,18.35352507,10,1.0,1.0,0,0,1.0,4.0,3,77500.0
420,55.0,2.0,43.84087455,18.35103323,4,1.0,1.0,0,0,1.0,4.0,3,85000.0
422,69.0,3.0,43.82768781,18.35205522,1,1.0,0,0,1.0,1.0,4.0,3,120000.0
423,73.0,3.0,43.84183496,18.35325685,0,0,1.0,0,0,1.0,4.0,3,99000.0
424,29.0,0.5,43.84383139,18.3548769,0,0,0,0,1.0,1.0,1.0,3,50000.0
425,47.0,2.0,43.8435683,18.35309591,15,1.0,1.0,0,0,0,4.0,3,77500.0
426,47.0,1.5,43.84359925,18.353686,15,1.0,1.0,0,0,0,4.0,3,73000.0
427,46.0,1.0,43.84189687,18.34954467,13,0,1.0,0,0,0,4.0,3,67000.0
428,29.0,0.5,43.84319687,18.35581031,2,0,0,0,0,0,4.0,3,50000.0
429,25.0,0.5,43.84353735,18.35463014,4,0,0,0,0,0,4.0,3,50000.0
430,25.0,0.5,43.84300676,18.35561063,0,0,0,0,0,0,4.0,3,45000.0
431,55.0,2.0,43.84141269,18.35060026,4,0,1.0,0,0,0,4.0,3,85000.0
432,29.0,0.5,43.84302664,18.35602488,0,0,0,0,0,0,4.0,3,50000.0
433,29.0,0.5,43.84339806,18.35653987,0,0,0,0,0,0,4.0,3,52000.0
434,81.0,4.0,43.84260104,18.35115399,5,1.0,0,0,0,0,4.0,3,90000.0
435,55.0,2.0,43.84120042,18.35048881,4,0,1.0,0,0,0,4.0,3,87000.0
436,48.0,2.0,43.84403258,18.35096087,16,0,1.0,0,0,0,4.0,3,65000.0
437,72.0,3.0,43.84180401,18.35274186,18,1.0,0,0,0,0,4.0,3,110000.0
438,39.0,1.0,43.84221413,18.35356798,18,1.0,1.0,0,0,1.0,4.0,3,65000.0
439,72.0,3.0,43.84223644,18.3534685,11,0,1.0,0,0,1.0,4.0,3,125000.0
440,70.0,3.0,43.84146353,18.35184064,11,0,1.0,0,0,1.0,4.0,3,115000.0
441,59.0,2.0,43.84295699,18.35262384,4,1.0,1.0,0,0,0,4.0,3,80000.0
442,72.0,3.0,43.84300342,18.35180845,3,1.0,0,0,0,0,4.0,3,120000.0
444,73.0,3.0,43.84266295,18.35102525,4,1.0,0,0,0,1.0,4.0,3,114000.0
446,25.0,1.0,43.84283652,18.35568573,0,0,0,0,0,0,4.0,3,44000.0
447,70.0,4.0,43.84576585,18.35205522,2,1.0,0,0,0,0,4.0,3,110000.0
448,73.0,3.0,43.84177821,18.35308252,0,1.0,1.0,0,0,1.0,4.0,3,95000.0
449,29.0,0.5,43.84339806,18.35671153,3,0,0,0,0,0,4.0,3,53560.0
450,29.0,0.5,43.8429183,18.3560678,3,0,0,0,0,0,4.0,3,53560.0
451,47.0,1.5,43.84409448,18.35224833,8,1.0,1.0,0,0,0,4.0,3,76000.0
453,73.0,3.0,43.84160281,18.35225906,0,1.0,1.0,0,0,1.0,4.0,3,101000.0
455,42.0,2.0,43.84140162,18.35196938,13,0,1.0,0,0,1.0,4.0,3,67000.0
456,69.0,3.0,43.84181088,18.35196664,3,0,1.0,0,0,1.0,4.0,3,103500.0
457,69.0,3.0,43.84161055,18.35117545,3,0,1.0,0,0,1.0,4.0,3,103500.0
458,69.0,3.0,43.84187365,18.35129347,3,0,1.0,0,0,1.0,4.0,3,103500.0
459,69.0,3.0,43.84412543,18.35175481,7,1.0,1.0,0,0,0,4.0,3,99000.0
460,54.0,2.0,43.84103773,18.35060153,13,1.0,1.0,0,0,0,4.0,3,75000.0
461,39.0,0.5,43.84155638,18.35205522,18,1.0,1.0,0,0,0,4.0,3,59000.0
462,50.0,3.0,43.84248497,18.35626092,12,1.0,0,1.0,0,0,2.0,3,87000.0
463,47.0,2.0,43.84348652,18.35111524,8,0,0,0,0,0,4.0,3,75000.0
464,74.0,3.0,43.8435683,18.34823575,1,1.0,1.0,0,0,0,4.0,3,107000.0
465,90.0,4.0,43.84304211,18.34832158,11,0,1.0,0,0,0,4.0,3,115000.0
466,29.0,0.5,43.84290283,18.35564938,4,0,0,0,0,0,4.0,3,45500.0
467,64.0,3.0,43.84152103,18.35184481,8,0,1.0,0,0,0,4.0,3,96000.0
468,69.0,3.0,43.84205163,18.35181918,3,1.0,1.0,0,0,0,4.0,3,105000.0
469,29.0,0.5,43.84271711,18.35592833,0,0,0,0,0,0,4.0,3,47000.0
471,69.0,3.0,43.84268176,18.35135128,1,0,1.0,0,0,1.0,4.0,3,119000.0
474,91.0,4.0,43.84384686,18.35307445,10,1.0,1.0,0,0,1.0,4.0,3,110000.0
475,64.0,2.0,43.84345223,18.34949102,9,1.0,1.0,0,0,0,4.0,3,85000.0
476,62.0,2.0,43.84279783,18.35135128,7,0,1.0,0,1.0,0,1.0,3,114900.0
477,48.0,1.5,43.84164838,18.35176279,11,1.0,1.0,0,0,1.0,2.0,3,68900.0
478,59.0,2.0,43.84293378,18.35287061,4,1.0,0,0,0,0,4.0,3,85000.0
479,60.0,2.0,43.84205241,18.35148465,4,1.0,1.0,0,0,0,4.0,3,80000.0
480,69.0,2.0,43.84187699,18.35068609,10,0,0,0,0,0,4.0,3,94000.0
481,25.0,0.5,43.84325791,18.35470249,1,0,0,0,0,0,4.0,3,45000.0
482,29.0,1.0,43.84257783,18.35611072,3,0,0,0,0,0,4.0,3,50000.0
483,63.0,3.0,43.84335937,18.34920135,13,1.0,1.0,0,0,1.0,4.0,3,110000.0
